"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Early-demographic dividend","EAR","Revenue, excluding grants (current LCU)","GC.REV.XGRT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Secondary education, pupils","SE.SEC.ENRL","","","","","","","","","","","44668992","45994436","48623412","51221060","53680724","56726328","59635132","62896772","66285680","69864584","74018064","77641376","82655360","88900248","93753512","98873000","104033016","108102128","111618376","114868928","120726040","127220752","133805848","140884592","146834608","152398032","157786400","164416432","169254224","172436304","179884304","185379456","193160704","201608080","207572320","213244160","219338080","227826768","234333392","237694944","247000000","258000000","266000000","271000000","283000000","287000000","293000000","293000000","298000000","",
"Early-demographic dividend","EAR","Tax payments (number)","IC.TAX.PAYM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.2830188679245","34.4150943396226","33.6111111111111","32.2037037037037","31.9444444444444","31.6296296296296","30.7407407407407","30.7678571428571","31.0837704918033","30.0509836065574","29.7395081967213","29.3132786885246","26.9334426229508","27.0645901639344","26.5236065573771",
"Early-demographic dividend","EAR","Urban population","SP.URB.TOTL","224507717","232805031","241796303","251162331","260942299","271112318","281688802","292713502","304112383","315961682","328275435","341271984","355471439","370266542","385581702","399447491","415634427","432322274","449706399","467865981","487165043","507509807","527557609","548386702","569900924","591988288","614509513","637255435","660365940","683849377","708987173","732212257","755284974","778458128","801921446","825665369","849683962","873954987","898432318","923034318","947972844","972890146","998938589","1025187221","1051789920","1078871220","1106438486","1134460223","1163054779","1192075127","1221477339","1250954532","1280569847","1310556861","1340926811","1371863792","1403036926","1434480350","1466377985","",
"East Asia & Pacific","EAS","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","43.3292847991577","43.5525515045204","43.8079754988659","44.0628351901789","44.3954856657848","44.6041873139902","44.8803319338031","44.962726799735","45.3130076096021","45.64341034166","45.8538528221497","46.1534508241816","46.5133476163843","46.8635817198718","47.0597038407473","46.7752380493032","46.7000496779907","46.884620580386","47.2188166901876","47.5227807581232","47.7762410555544","47.9805320398297","48.1502440591012","48.660212880718","49.2785111329784","49.5451335670702","49.9225000911596","50.2749053917021","50.3571225197707","50.540757535858","50.5907384815013","50.7262283197654","50.4876765350158","50.9786847913638","50.7766040977193","50.8620153414162","51.2059084318624","51.2992090407858","51.0079715568546","51.16913578467","51.1009506226494","50.5694964281561","49.6300360998987","49.792079253269","49.9840208898874","49.4591064203586","49.1810042718792","48.9278305898797","48.6912032101648","48.2968122787665","48.7956202401991","48.6667205659474","48.3401672633325","48.7770047342764","47.678013010932","47.7837798916902","","","",
"East Asia & Pacific","EAS","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","5588072.90124733","839589.854691582","3000000","2532747.87085977","23857827.8549231","5079589.73152684","6156000.12444015","8643221.18570787","4772285.65965568","7110374.95031737","18265845.4661203","12318347.1967485","45132374.6547573","196023983.515211","203749388.047226","226352318.311215","272195474.406196","328863695.724932","411793115.116361","610806374.669333","7243205630.10201","8074678668.56579","8233792582.7182","9288495217.93495","11661418009.0009","12217133779.0779","12281694061.7118","14864693417.2479","19444784738.9388","21727246706.5214","24226325874.1917","27629998125.0503","31593100239.4061","28543246600.1019","34468916981.3065","38806273389.8293","41641828813.0662","42193407956.4288","49495907755.8898","54763703124.7863","56611256238.7177","64342258111.3005","69492702978.0423","",
"East Asia & Pacific","EAS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.18596219860594","6.2290189915733","6.19725076106491","6.29428441970032","6.26737329305823","6.21993116424348","6.02334107032467","5.81622019382265","5.95808247323293","6.45153044690924","6.33442866690728","6.75555498206578","6.81578484405001","6.58803778276582","6.53343256656343","6.48841170894697","6.64010838179519","","","",
"East Asia & Pacific","EAS","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.34311666301584","4.35550389959374","4.28968002338211","4.32865290614579","4.32509439969403","4.27894472456363","4.06647069293425","3.93496277081461","4.03955576757675","4.44751333409739","4.37655767404545","4.77062285904911","4.79774129724544","4.54845702868366","4.48006458386478","4.45451097469692","4.52860677828139","","","",
"East Asia & Pacific","EAS","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","SE.TER.CUAT.BA.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Firms with female participation in ownership (% of firms)","IC.FRM.FEMO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.9461538461538","",
"East Asia & Pacific","EAS","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","56.9272988341105","61.8765173113106","69.0729881196179","56.9831708061989","67.8357254824027","82.345201275622","85.5518514432346","89.4437061738809","86.0028006449013","82.3096547552899","78.7601373602045","76.0866562460273","78.9634655800943","83.3415077725564","82.5748996682995","83.0247537979692","83.8402972283688","83.7478988226656","84.3448744240151","83.9621267767885","84.5994430292348","86.3747402229453","86.4132863391217","90.1802279216359","89.7506702539259","92.0284706086943","93.0175446025889","93.2234170193128","94.0386266481074","94.2404728133051","94.2041438944875","92.7880162423163","92.7166818633444","92.8181750066581","91.9538530598898","91.823795807992","",
"East Asia & Pacific","EAS","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.78456489203661","6.66943621295941","6.85795099746387","7.06852867812692","7.36085183586053","6.56120361735985","6.81351408478352","7.03367747595718","5.76684356483462","5.82194430869935","5.35236729069832","4.7349206913533","4.69074226837274","4.32629249333694","4.97732546231496","4.65546657802594","4.32581687213834","4.71453249812353","5.00315941193319","6.40487876267815","7.50961676145089","8.01168371240419","7.38264465163587","","",
"East Asia & Pacific","EAS","Labor force participation rate for ages 15-24, male (%) (national estimate)","SL.TLF.ACTI.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","77.0514522156961","","","","","","","","71.611833407196","","","","","","","","","","62.9983277555475","","","","","","","","","","56.9652284645478","","","","","","","","","",
